,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
0,HR Generalist (Former  Employee),HR Generalist ,Former Employee, London, Greater London ," London, Greater London "," December 20, 2021",Good place for progression if you can handle the stress.,"Good for a graduate job, if you want quick progression and experience. Prepare to learn very quickly with little to no training. You get given a lot of responsibility from the beginning, but this isn't necessarily a good thing when you're dealing with high stake situations but you haven't had any training.","High-ish annual pay, but when you factor in the hours you are working without overtime, the pay isn't as good at all.","long hours, no organisation, stressful, sink or swim.",3,Amazon.com
1,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Monee, IL ," Monee, IL "," December 20, 2021",Terrible Company,There’s no room for growth if you aren’t the right color. I possessed a MBA and was always denied the opportunity to interview for higher positions. The pay is not acceptable for the type of work and they view employees as disposable.,4 day schedule,"Mandatory 60hrs, The pay, The RSU’s no longer offered, The VCP no longer offered, The managers in MDW /ORD needs cultural sensitivity training.",1,Amazon.com
2,Learning Manager (Former  Employee),Learning Manager ,Former Employee, Calgary, AB ," Calgary, AB "," December 20, 2021",this company doesn't care about you,"stressful, no balance, not worth it. will make you work crazy hours but will not pay you. no incentive for leadership, they don't care about you, all that matters is get the work done", , ,1,Amazon.com
3,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Hazelwood, MO ," Hazelwood, MO "," December 20, 2021",Very fast paced work environment,"It was an okay job. I think my job was very easy. I picked up pallets and put them into lanes. It was so simple, the only downside is walking back and forth through the huge warehouse for 4 hours straight.",I liked the 20 min breaks. The Pay was awesome.,"everyone was sore after work, you couldn't really talk to managers, The work assignments were always mixed up",3,Amazon.com
4,Driver (Current  Employee),Driver ,Current Employee, Jacksonville, FL ," Jacksonville, FL "," December 20, 2021",Cool,Cool coworkers enjoy driving the van. Workout and we eat good. Adventurous days ahead and they always keep you busy. No time to complain. Live your life, , ,5,Amazon.com
5,Delivery Service partner (Current  Employee),Delivery Service partner ,Current Employee, Bellmawr, NJ ," Bellmawr, NJ "," December 20, 2021",Amazon Flex program was okay,I was part of the amazon flex program. Which allowed you to work when you want. It was a pretty cool gig for a while but now getting blocks has gotten difficult. And income isn't as reliable, , ,3,Amazon.com
6,FC Associatei (Former  Employee),FC Associatei ,Former Employee, Davenport, FL ," Davenport, FL "," December 20, 2021",Never worked here before.,"I have never worked for Amazon.com I have only worked for the warehouse and they do have good benefits plus room to grow. You get a break, the company has fun activities for employees.", , ,4,Amazon.com
7,Package Handler (Current  Employee),Package Handler ,Current Employee, Carteret, NJ ," Carteret, NJ "," December 20, 2021","Always busy, something to do","Modern slavery. It’s pretty basic too work here. The management was pretty poor, and they diddnt seem too care about you. Working here at Amazon wasn’t a great experience.",None at the moment,Short breaks,2,Amazon.com
8,Amazon Stow Associate (Current  Employee),Amazon Stow Associate ,Current Employee, Ottawa, ON ," Ottawa, ON "," December 20, 2021",The environment of the work is good but the work it’s self not healthy.,"Yes I enjoy working in Amazon but the is high competition and the roles to how improve your self not clear.the normal day is 10 hours in a day it is longe because I have 4 days working and 3 days off it worth it. The hardest part of this work is curing heavy items, making balance between the number of the items you stow and the error it comes from my self or other department like receivers.",I need to understand how I can improve my productivity to get better position., ,3,Amazon.com
9,Software Engineer Intern (Former  Employee),Software Engineer Intern ,Former Employee, Bellevue, WA ," Bellevue, WA "," December 19, 2021",Had a great internship experience at AWS,I was a software engineer intern. I was very lucky to have met a very supportive mentor and manager. The internship was completely remote. One project was assigned to me during the whole internship., , ,5,Amazon.com
